HS Code,Description,CD,SD,VAT,AIT,RD,ATV,
12129490,Other Chicory roots;  EXCL. Wrapped/canned upto 2.5 kg,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
12129910,Vegetable Products Used Primarily For Human...Fresh/Drd;Nes;Wrapp/Can. upto 2.5kg,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
12129990,Vegetable Products Used Primarily For Human..;Fresh/Drd Nes;(Excl. Wrap/Can upto 2.5 kg),CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
12130010,Cereal Straw And Husks; Wrapped/Canned upto 2.5 kg,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
12130090,Cereal Straw And Husks; Nes,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
12141010,Lucerne (Alfalfa) Meal And Pellets;   Wrapped/Canned upto 2.5 kg,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
12141090,Lucerne (Alfalfa) Meal And Pellets; Nes,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
12149010,Other Forage Products;Nes; Wrapped/Canned upto 2.5 kg,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
12149090,Other Forage Products; Nes; (Excl. Wrapped/Canned upto 2.5 kg),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
13012000,Gum Arabic,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 5%,ATV 5%,21.97,
13019000,Natural gums; resins; gum-resins;natural oleoresesins and balsams (excl. gum arabic),CD 5%,SD 0%,VAT 0%,AIT 5%,RD 5%,ATV 5%,21.97,
13021100,Opium Vegetable Sap For Pharma,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
13021200,Liquorice Sap And Extract,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
13021300,Hop Sap And  Extract,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
13021400,Vegetable saps and extracts: Of ephedra,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
13021900,Other Vegetable Saps And Extracts;Nes(Exl.Opium;Liquorice;Hops;Pyrethrum).,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
13022000,Pectic Substances; Pectinates And Pectates,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
13023100,Agar-Agar,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
13023200,Mucilages And Thickeners Of Locust Beans; Bean Seeds And Guar Seeds,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
13023900,Mucilages&Thickeners;Derived From Veg.Prod.(Ex.Locastbeans/Seeds;Guarseeds,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
14011000,Bamboos,CD 5%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,16.65,
14012000,Rattans,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
14019000,Vegetable Materials For Plaiting; (Excl. Bamboos And Rattans),CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
14042010,Cotton Linters; Wrapped/Canned upto 2.5 kg,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
14042090,Cotton Linters; Nes,CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
14049011,Tendu Leaves (Biri Leaves);Wrapped/Canned upto 2.5 kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
14049019,Tendu Leaves (Biri Leaves);Nes,CD 25%,SD 0%,VAT 0%,AIT 5%,RD 3%,ATV 5%,41.11,
14049091,Vegetable Products; Nes Wraped/Canned upto 2.5 kg,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
14049092,BETEL LEAVES,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
14049099,Vegetable Products; Nes (Excl. Wrapped/Canned upto 2.5 kg),CD 10%,SD 0%,VAT 0%,AIT 5%,RD 0%,ATV 5%,21.97,
15011000,Pig fat Lard,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15012000,Other pig fat,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15019000,Poultry fat; other than that of heading 0209 or 1503,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15021000,Fats of bovine animals; sheep or goats; Tallow,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15029000,Fats of bovine animals; sheep or goats; EXCL. Tallow,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15030000,LARD STEARIN; LARD OIL; OLEOSTEARIN; OLEO-OIL AND TALLOWOIL; NOT EMULSIFIED OR MIX..,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15041000,Fish-Liver Oils And Their Fractions,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15042000,Fish Fats; Oils And Fractions (Excl. Fish Liver Oils),CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15043000,Marine Mammal Fats; Oils And Their Fractions,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15050000,Wool grease and fatty substances derived therefrom(including lanolin).,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15060000,Other Animal Fats And Oils And Their Fractions,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15071000,CRUDE OIL; WHETHER OR NOT DEGUMMED,CD 0%,SD 0%,VAT 15%,AIT 0%,RD 0%,ATV 5%,21.33,
15079010,Refined Soya-Bean Oil,CD 0%,SD 0%,VAT 15%,AIT 0%,RD 0%,ATV 5%,21.33,
15079090,Other Soya-Bean Oil,CD 5%,SD 0%,VAT 15%,AIT 0%,RD 0%,ATV 5%,27.4,
15081000,Crude Ground-Nut Oil,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15089000,Ground-Nut Oil (Excl. Crude) And Fractions;Not Che.Modified,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15091010,Virgin olive oil wrapped/canned upto 2.5kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15091090,Virgin olive oil  Excl. wrapped/canned upto 2.5kg,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15099010,Olive oil and fractions (excl. virgin) wrapped/canned upto 2.5kg,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15099090,Olive oil and fractions (excl. virgin) Excl. wrapped/canned upto 2.5kg,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15100000,Other Oils And Their Fractions; Obtained Solely From Olives; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15111010,Crude palm oil imported by VAT registered edible oil refinery industries,CD 10%,SD 0%,VAT 15%,AIT 0%,RD 0%,ATV 5%,33.47,
15111090,Crude palm oil imported by other than VAT registered edible oil refinery industri,CD 10%,SD 0%,VAT 15%,AIT 0%,RD 0%,ATV 5%,33.47,
15119011,Rbd Palm Stearin,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15119019,Solidified Or Hardened By Mechanical Treatment(Excl. Rbd Palm Stearin),CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15119090,Palm Oil(Excl.Cude)&Its Fractns....Nes.Incld.Refiend Palm Oil,CD 0%,SD 0%,VAT 15%,AIT 0%,RD 0%,ATV 5%,21.33,
15121100,Crude Sunflower-Seed Oil And Safflower Oil,CD 5%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,32.4,
15121900,Sunflower-Seed And Safflower Oil (Excl. Crude) And Fractions Thereof,CD 10%,SD 0%,VAT 15%,AIT 0%,RD 0%,ATV 5%,33.47,
15122100,Crude Cotton-Seed Oil;Whether Or Not Gossypol Has Been Removed,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15122900,Refined Cotton-Seed Oil & Its Fractns; Not Chemically Modifd,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15131100,Crude Coconut (Copra) Oil,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15131900,Coconut (copra) oil (excl. crude) & its fractions; refined or not but not chem. modified,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
15132100,Crude Palm Kernel Or Babassu Oil,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15132900,Refined Palm Kernel/Babassu Oil & Fractions;Not Chem.Modifd,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,56.67,
15141100,LOW ERUIC ACID RAPE OR COLZA OIL AND ITS FRACTIONS; CRUDE OIL,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15141900,LOW ERUIC ACID RAPE OR COLZA OIL AND ITS FRACTIONS; EXCL. CRUDE OIL,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15149100,OTHER CRUDE OIL,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15149900,RAPE;COLZA OR MUSTARD OIL&FRAC.THEREOF;WHET.OR NOT REF.BUT NOT CHE.MOD.NES,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15151100,Crude Linseed Oil,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15151900,Refined Inseed Oil & Fractions;Not Chemically Modified,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15152100,Crude Maize (Corn) Oil,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15152900,Refined Maize (Corn) Oil & Fractions;Not Chemically Modifd,CD 10%,SD 0%,VAT 15%,AIT 0%,RD 0%,ATV 5%,33.47,
15153000,Castor Oil And Its Fractions,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15155000,Sesame Oil And Fractions,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15159000,Oth.Fixed Veg.Oil;Fats & Frac.;Nes(Ex.Maize/Castor/Tung/Sesamre/Jojobaoil),CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15161000,Animal Fats And Oils And Fractions; Hydrogenated; Etc,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15162000,Vegetable fats and oils and their fractions; hydrogenated; etc,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15171010,Margarine; excluding liquid margarine in 10kg or above packing,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15171090,Margarine; excl liquid margarine other than 10kg or above packing,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15179000,Edible Preparations Of Animal/Veg.Fats And Oils;Nes Incld.Liquid Margarine,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15180000,Animal Or Vegetable Fats And Oils... Chemically Modified; Nes,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15200000,Glycerol; Crude; Glycerol Waters And Glycerol Lyes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
15211000,Vegetable waxes (excl. triglycerides),CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15219000,Beeswax; other insect waxes and spermaceti,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
15220000,Degras; Residues Of Fatty Substances Or Animal Or Vegetable Waxes,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
16010000,Sausages &Similar Prod.;Of Meat;Meat Offal;Blood;Prep.Based On These Prod.,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16021000,Homogenized Preparations Of Meat; Meat Offal Or Blood,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16022000,Preparations Of Animal Liver,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16023100,Preparations Of Turkey Meat.Offal Or Blood,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16023200,Prepared/Preserved Meat;Offal/Blood Of Fowls Of Species Gallus Domesticus,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16023900,Preparations Of Poultry(Exc.Turkey/Fowls Of Species Gallus Domesticus),CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16024100,Preparations Of Swine; Hams And Cuts,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16024200,Preparations Of Swine; Shoulders And Cuts,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16024900,Preparations Of Swine Meat; Including Mixtures; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16025000,Preparations Of Meat Of Bovine Animals,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16029000,Preparations Of Meat (Incl.Preparations Of Blood Of Any Animal); Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16030000,Extracts And Juices Of Meat;Fish Crus.;Mollus And Aquatic Invertebrates,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041100,Prepared Or Preserved Salmon (Not Minced) Whole/Inpieces,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041200,Prepared Or Preserved Herrings (Not Minced) Whole/Inpieces,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041300,Prep/Preserved Sardines;Sardinella;Brisling/Sprats(Not Minced)Whl/Inpieces,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041400,Prep./Preserved Tuna;Skipjack & Bonito Ex.Minced Whole/Inpieces,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041500,Prepared Or Preserved Mackerel (Not Minced) Whole/Inpieces,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041600,Prepared Or Preserved Anchovies (Excl. Minced) Whole/Inpieces,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041700,Eels,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041800,Shark Fish,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16041900,Prepared Or Preserved Fish (Not Minced); Nes; Whole/Inpieces,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16042000,Other Prepared Or Preserved Fish; Including Minced; Nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16043100,Caviar,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16043200,Caviar substitutes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16051000,Crab; Prepared Or Preserved,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16052100,Shrimps and prawns Not in airtight container,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16052900,Shrimps and prawns in airtight container,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16053000,Lobster; Prepared Or Preserved,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16054000,Oth Crustaceans;Prepared Or Preserved (Ex.Crab;Shrimps;Prawns & Lobsters,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055100,Oysters,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055200,Scallops; including queen scallops,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055300,Mussels,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055400,Cuttle fish and squid,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055500,Octopus,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055600,Clams; cockles and arkshells,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055700,Abalone,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055800,Snails; other than sea snails,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16055900,Other Molluscs :,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16056100,Sea cucumbers,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16056200,Sea urchins,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16056300,Jellyfish,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
16056900,Other aquatic invertebrates :,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17011200,Other cane sugar,CD 3000%,SD 0%,VAT 15%,AIT 0%,RD 30%,ATV 5%,3697.74,
17011300,Cane sugar specified in Subheading Note 2 to this Chapter,CD 3000%,SD 0%,VAT 15%,AIT 0%,RD 30%,ATV 5%,3697.74,
17011400,Other cane sugar,CD 3000%,SD 0%,VAT 15%,AIT 0%,RD 30%,ATV 5%,3697.74,
17019100,Cane Or Beet Sugar; Containing Added Flavouring Or Colouring,CD 6000%,SD 0%,VAT 15%,AIT 0%,RD 30%,ATV 5%,7337.74,
17019900,Cane Or Beet Sugar; In Solid Form; Nes Including Chemically Kue Sucoose,CD 6000%,SD 0%,VAT 15%,AIT 0%,RD 30%,ATV 5%,7337.74,
17021100,Lactose And Lactose Syrup Cont.By Weight>=99% Lactose Calc. On Dry Matter,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17021900,Lactose And Lactose Syrup Cont.By Weight <99% Lactose Calc. On Dry Matter,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17022000,Maple Sugar And Maple Syrup,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17023010,Dextrose; Anhydrous/Monohydrate Bp/Vsp Pyrogen Free,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
17023020,Glucose & Glucose Syrup;Containing <20% Fructose;Liquid Glucose,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
17023090,GLUCOSE AND GLUCOSE SYRUP; NOT CONTAINING FRUCTOSE OR CONTAINING.. EXCL. LIQUID GLUCO,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
17024000,Glucose And Glucose Syrup; Containing >=20% But <50% Fructose,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
17025000,Chemically Pure Fructose,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17026000,Other Fructose And Fructose Syrup; Containing >50% Fructose,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17029000,Artificial honey; caramel and other sugars (incl. invert sugar); nes,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17031000,Cane Molasses Resulting From The Extraction Or Refining Of Sugar,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17039000,Oth.Molasses Resulting From The Extraction/Refining Of Sugar (Ex.Cane),CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
17041010,Chewing Gum Not Containing Cocoa; TV,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
17041090,Chewing gum excl. Put up for retail sale,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
17049010,Sugar confe (incl. white chocolate); not cont cocoa;nes Put up for retail sale,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
17049090,Sugar confei (incl. whit chocole); not cont cocoa; nes excl.  Put up for retail sale,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
18010000,Cocoa Beans; Whole Or Broken; Raw Or Roasted,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
18020000,Cocoa Shells; Husks; Skins And Other Cocoa Waste,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
18031000,Cocoa Paste; Not Defatted,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
18032000,Cocoa Paste; Wholly Or Partly Defatted,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
18040000,Cocoa Butter; Fat And Oil,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
18050000,Cocoa Powder; Not Containing Added Sugar Or Other Sweetening Matter,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
18061000,Cocoa Powder; Containing Added Sugar Or Other Sweetening Matter,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
18062000,OTHER PREPARATIONS IN BLOCKS; SLABS OR BARS WEIGHING MORE THAN 2 KG; OR IN LIQUID..,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
18063100,Chocolate; Etc; Containing Cocoa; In Blocks; Slabs Or Bars; Filled; TV,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
18063200,Chocolate; Etc; Containing Cocoa In Blocks; Slabs Or Bars; Not Filled; TV,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
18069000,OTHER CHOCOLATE & OTHER FOOD PREPARA. CONTAININGS COCOA; EXCL. FILLED/NOT FILLE; TV,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
19011000,Preparations suitable for infants or young children; put up for retail sale,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
19012000,Mixes And Doughs For Preparation Of Bakers' Wares Of 19.05,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
19019011,food prep's of goods Filled milk powder imp by VAT reg milk products manu ind,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
19019019,food prep's of goods excl. Filled milk powder imp by VAT reg milk products manu ind,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
19019020,Dry mixed ingredients of food preparations in bulk imp. by VAT reg. food proc ind.,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
19019030,Preparations for infant or young children in bulk imported by VAT registered food ind,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
19019040,Nutritional supplement for pregnant women and breast feeding mothers; put up for,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
19019050,NUTRITIONAL SUPP.FOR PREGNANT WOMEN...BY VAT REG. REG.FODD PROCESSIN INDUSTY.,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
19019091,Imported in bulk by VAT registered food processing industries,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 0%,ATV 5%,87,
19019099,Imported in bulk by other than VAT registered food processing industries,CD 25%,SD 20%,VAT 15%,AIT 5%,RD 3%,ATV 5%,91.37,
19021100,Uncooked Pasta Containing Eggs Not Stuffed,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19021900,Uncooked Pasta; Not Containing Eggs; Not Stuffed,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19022000,Stuffed Pasta; Whether Or Not Cooked/Prepared,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19023000,Other Pasta; Nes,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19024000,Couscous,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19030000,Tapioca & Substitutes Prpd.From Starch In Flakes;Grains;Pearls;Sifting Etc,CD 10%,SD 0%,VAT 15%,AIT 5%,RD 0%,ATV 5%,38.47,
19041000,Prepared food obtained by the swelling or roasting of cereals or cereal products,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19042000,Prepared Foods Obtned From Unroasted Cereal Flakes/Mixtures Unroasted/Rstd,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19043000,BULGUR WHEAT,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19049000,Cereals In Grain;Flakes;Worked Grains;Precooked;Otherwise Prepared; Nes,CD 25%,SD 30%,VAT 15%,AIT 5%,RD 3%,ATV 5%,106.9,
19051000,Crispbread,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
19052000,Gingerbread And The Like,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
19053100,SWEET BISCUITS; TV,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
19053200,WAFFLES AND WAFERS; TV,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
19054000,Rusks; Toasted Bread And Similar Toasted Products,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
19059000,Pastry;Cakes;Other Bread; Etc; Nes; Communion Wafers; Rice Paper; Etc; TV,CD 25%,SD 45%,VAT 15%,AIT 5%,RD 3%,ATV 5%,130.19,
20011000,Cucumbers And Gherkins;Prepared On Preserved By Vinegar Or Acetic Acid,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
20019000,Oth.Veg.Fruits;Nuts&Edible Parts Of Plants Preserved By Vinegar/Acetic Aci,CD 25%,SD 0%,VAT 15%,AIT 5%,RD 3%,ATV 5%,60.31,
